Twitter String,,city,state
United Kingdom,52177,,
Louisville,541,Louisville,Kentucky
"Kingston, Jamaica",588,,
New Delhi,413,,
Portland,865,Portland,Oregon
Newcastle upon Tyne,731,,
Staffordshire,422,,
"Boston, USA",125,Boston,Massachusetts
"Melbourne, Victoria",11695,,
Seattle,6385,Seattle,Washington
"Victoria, BC",439,,
Glasgow,5256,,
Chicago,16547,Chicago,Illinois
Manchester,893,,
"Scotland, United Kingdom",14583,,
Paris,6669,,
Manchester UK,423,,
West Yorkshire,694,,
"Ottawa, ON",666,,
"Los Angeles, Ca",508,Los Angeles,California
"San Jose, Costa Rica",170,,
Miami,2966,Miami,Florida
"Vancouver, BC",2457,,
"Glasgow, Scotland",14876,,
Glasgow,453,,
Los Angeles,19952,Los Angeles,California
Sacramento,779,Sacramento,California
San Francisco,7208,San Francisco,California
"Port Elizabeth, South Africa",1498,,
Oxford,1095,,
"Langley, British Columbia",198,,
"Riyadh, Kingdom of Saudi Arabi",523,,
Hamburg,941,,
"Montevideo, Uruguay",1862,,
,4896,Atlanta,Georgia
"Houston, Tx",927,Houston,Texas
"Victoria Island, Nigeria",458,,
Manchester,7672,,
"Astoria, Queens",495,Queens,New York
"Vancouver, British Columbia",9875,,
"Wales, United Kingdom",7448,,
"Hollywood, Los Angeles",1092,Los Angeles,California
"Camden Town, London",410,,
Durham,424,,
Plymouth,522,,
"Edinburgh, Scotland",8685,,
"La Jolla, San Diego",208,San Diego,California
"Melbourne, Australia",4305,,
Melbourne,252,,
"Moscow, Russia",1622,,
Philadelphia,4175,Philadelphia,Pennsylvania
"Philadelphia, Pa",313,Philadelphia,Pennsylvania
Houston,3651,Houston,Texas
Derbyshire,518,,
New Delhi,4898,,
Kent,1350,,
Somerset,471,,
"Amsterdam, Nederland",1108,,
"Austin, Tx",501,Austin,Texas
Las Vegas,390,Las Vegas,Nevada
Dallas,1980,Dallas,Texas
New Orleans,1874,New Orleans,Louisiana
Detroit,1808,Detroit,Michigan
Yorkshire and The Humber,1261,,
Melbourne,3379,,
Essex,3530,,
Brighton,1534,,
"South Los Angeles, Los Angeles",221,Los Angeles,California
"Seattle, USA",127,Seattle,Washington
Moscow,692,,
Austin,1141,Austin,Texas
"Yorkshire and The Humber, Engl",571,,
Las Vegas,3052,Las Vegas,Nevada
Belfast,1900,,
"Aberdeen, Scotland",2159,,
St. Louis,1420,St. Louis,Missouri
Holland,190,,
"Melbourne, Victoria, Australia",225,,
Beacon Hills,253,,
Cincinnati,1272,Cincinnati,Ohio
Delhi,3081,,
"Vancouver, B.C.",233,,
"Geneva, Switzerland",1273,,
"Hamilton, ON",232,,
Cornwall,125,,
Vancouver,2728,,
Newcastle,1294,,
European Union,244,,
Tucson,321,,
"London, United Kingdom",1958,,
County Durham,167,,
"Victoria, British Columbia",1540,,
Milan,307,,
San Diego,3727,San Diego,California
"Greenwich, London",481,,
"Essex, United Kingdom",109,,
Chicago,1539,Chicago,Illinois
"New Delhi, Delhi",383,,
"Louisville, Ky",290,Louisville,Kentucky
San Francisco Bay Area,1815,San Francisco,California
Oakland,626,Oakland,California
Lincolnshire,345,,
"Athens, Greece",813,,
Melbourne Australia,451,,
Honolulu,225,,
Vancouver BC,405,,
"Surrey, British Columbia",758,,
Long Beach,339,Long Beach,California
"Wellington City, New Zealand",1062,,
Boston,5195,Boston,Massachusetts
Baltimore,1900,Baltimore,Maryland
Ottawa,1998,,
San Jose,420,San Jose,California
Milwaukee,824,Milwaukee,Wisconsin
"Rome, Lazio",1027,,
"District of Columbia, USA",1715,Washington DC,District of Columbia
"Livingston, Scotland",479,,
"Victoria, Australia",1817,,
Manhattan,386,Manhattan,New York
Minneapolis,2817,Minneapolis,Minnesota
"Wellington, New Zealand",485,,
United Kingdom,631,,
East Atlanta,118,Atlanta,Georgia
Bristol,3089,,
Omaha,464,Omaha,Nebraska
"Berlin, Germany",6118,,
Edinburgh,3420,,
"Nanaimo, British Columbia",277,,
"Tampa, Fl",225,Tampa,Florida
Nashville,1260,Nashville,Tennessee
Cleveland,176,Cleveland,Ohio
Pittsburgh,2195,Pittsburgh,Pennsylvania
Chesterfield,207,,
"Santa Maria, Brasil",223,,
Stamford Bridge,172,,
Derby,642,,
British Columbia,525,,
"Melbourne, Australia",243,,
District of Columbia,221,Washington DC,District of Columbia
Cambridge,996,,
Oxfordshire,548,,
"Newport, Wales",637,,
Albuquerque,295,,
Winchester,147,,
Cheshire,884,,
Essex,420,,
Milton Keynes,521,,
Reading,527,,
Aberdeen,587,,
Lincoln,405,,
"Hamburg, Germany",1596,,
Norfolk,475,,
Victoria BC,139,,
"Milano, Lombardia",1273,,
Orlando,1076,Orlando,Florida
Berlin,3742,,
Geneva,255,,
"Lima, Peru",6031,,
Yorkshire,1418,,
Belfast,187,,
"Delta, Nigeria",328,,
York,676,,
Newport,159,,
"Detroit, Mi",109,Detroit,Michigan
"Kingston upon Thames, London",448,,
"Clydebank, Scotland",166,,
West Midlands,483,,
North Yorkshire,432,,
"Amsterdam, The Netherlands",3113,,
"South Holland, The Netherlands",194,,
"Dumfries, Scotland",239,,
Bournemouth,465,,
Amsterdam,2219,,
"Richmond, London",275,,
Birmingham,2821,,
Delhi,234,,
"Geelong, Victoria",188,,
Southampton,811,,
Los Angeles,1719,Los Angeles,California
Cambridge,101,,
Birmingham UK,393,,
Carlisle,148,,
"Andalusia, Spain",281,,
Athens,565,,
Greater Vancouver,486,,
"Nueva York, USA",244,New York,New York
Norwich,885,,
"Milan, Italy",418,,
Greater Manchester,247,,
"Enfield, London",502,,
Cornwall,824,,
West Palm Beach,116,West Palm Beach,Florida
"Manchester, United Kingdom",276,,
Aberdeenshire,101,,
Gloucester,248,,
Bedford,235,,
Worcestershire,252,,
"Adamawa, Nigeria",143,,
Peterborough,417,,
East Yorkshire,184,,
"Lisbon, Portugal",2197,,
Lebanon,2456,,
"Bexley, London",354,,
"Newcastle, New South Wales",510,,
Herefordshire,127,,
"Milan, Lombardy",960,,
Worcester,313,,
"Florence, Tuscany",295,,
"Walthamstow, London",322,,
South Yorkshire,248,,
Portsmouth,524,,
Bradford,361,,
Richmond,249,Richmond,Virginia
Dublin,3791,,
Suffolk,449,,
Birmingham,409,,
"Hamilton, Scotland",302,,
Vancouver,192,,
"Jeddah, Kingdom of Saudi Arabia",368,,
Bristol,235,,
Warwickshire,310,,
"Fredericton, New Brunswick",441,,
Bedfordshire,304,,
"Leeds, West Yorkshire",135,,
"Budapest, Hungary",768,,
Tampa,684,Tampa,Florida
"Jeddah, Kingdom of Saudi Arabi",272,,
"Berlin, Deutschland",2698,,
"Central Harlem, Manhattan",240,New York,New York
Lancaster,206,,
Cheshire,147,,
Hastings,106,,
Bath,401,,
Galaxy,172,,
Kingdom of Saudi Arabia,3300,,
"Santa Cruz de Tenerife, Spain",256,,
Gloucestershire,384,,
Chester,347,,
"Beirut, Lebanon",314,,
"North Holland, The Netherlands",124,,
Charlottetown,124,,
"Kilmarnock, Scotland",316,,
"Richmond, British Columbia",187,,
"Vienna, Austria",1946,,
Cambridge UK,124,,
Colchester,182,,
Hereford,157,,
Northamptonshire,297,,
East Midlands,156,,
Midlands,238,,
"Leeds, United Kingdom",111,,
"Petaling Jaya, Selangor",547,,
"Centre, Cameroon",254,,
"Hobart, Tasmania",345,,
"Novo Hamburgo, Brasil",108,,
"Birmingham, United Kingdom",137,,
"Glasgow, United Kingdom",105,,
"Burnaby, British Columbia",341,,
Yorkshire,199,,
Lisbon,275,,
Syracuse,125,,
Chattanooga,124,Chattanooga,Tennessee
"Hamburg, Deutschland",1060,,
Newcastle Upon Tyne,558,,
Bristol UK,185,,
Jacksonville,210,Jacksonville,Florida
Atlanta,668,Atlanta,Georgia
Baltimore,250,Baltimore,
"Woodland Hills, Los Angeles",146,Los Angeles,California
"Bangor, Wales",155,,
"Jacksonville, Fl",347,Jacksonville,Florida
Denver,1857,Denver,Colorado
Stafford,128,,
"Glasgow, Scotland",126,,
"Pacoima, Los Angeles",184,Los Angeles,California
Charlotte,517,Charlotte,North Carolina
Berlin,132,,
"Newcastle, South Africa",250,,
San Francisco,375,San Francisco,California
Palestine,305,,
"Coquitlam, British Columbia",155,,
"Saint Albans, East",109,,
Victoria,238,,
"Elgin, Scotland",179,,
"Carolina, Puerto Rico",387,,
"Dartmouth, Nova Scotia",115,,
"Alexandria, Egypt",1201,,
London/Essex,138,,
"Sacramento, Ca",136,Sacramento,California
Jersey City,205,Jersey City,New Jersey
Dublin,320,,
Salem,196,,
Salt Lake City,678,Salt Lake City,Utah
"Riyadh, Kingdom of Saudi Arabia",849,,
Windsor,147,,
"Atlanta, Ga",961,Atlanta,Georgia
New Orleans,287,New Orleans,Louisiana
Northampton,472,,
Rome,424,,
Hamilton,265,,
Tampa Bay,233,Tampa,Florida
Milano,756,,
West Yorkshire,107,,
Boston area,103,Boston,Massachusetts
"Amsterdam, Netherlands",193,,
Budapest,210,,
"Chicago, Il",358,Chicago,Illinois
Chicagoland,731,Chicago,Illinois
"Hemel Hempstead, East",117,,
Hollywood,571,Hollywood,California
Port Elizabeth,291,,
Paris,659,,
Baton Rouge,240,,
"Rio Grande do Sul, Brazil",346,,
Angola,699,,
"Richmond, Va",164,Richmond,Virginia
Pembrokeshire,102,,
"Dallas, Tx",606,Dallas,Texas
"Irvine, Scotland",214,,
Edinburgh,273,,
Orlando,135,Orlando,Florida
"Windsor, South East",124,,
"Warsaw, Poland",1047,,
Ann Arbor,285,Ann Arbor,Michigan
Chicago area,146,Chicago,Illinois
"Williamsburg, Brooklyn",245,Brooklyn,New York
San Diego,328,San Diego,California
Springfield,220,,
"Greater Vancouver, British Col",129,,
Jupiter,953,,
Cleveland,1053,Cleveland,Ohio
"San Antonio, Tx",286,San Antonio,Texas
"Bristol, United Kingdom",129,,
Des Moines,175,Des Moines,Iowa
Tallahassee,181,Tallahassee,Florida
Vienna,536,,
Miami Beach,168,Miami,Florida
"Alief, Houston",192,Houston,Texas
"Cairo, Egypt",3228,,
Babylon,196,,
St. Paul,136,St. Paul,Minnesota
Lexington,146,Lexington,Kentucky
"Bedford Stuyvesant, Brooklyn",196,Brooklyn,New York
Salisbury,107,,
Waterloo,149,,
"Upper West Side, Manhattan",161,Manhattan,New York
"Denver, Co",151,Denver,Colorado
"East Village, Manhattan",167,Manhattan,New York
Brighton,144,,
"Lower East Side, Manhattan",140,Manhattan,New York
"Houston,Tx",251,Houston,Texas
"Saint John, New Brunswick",284,,
Kent,145,,
"Rome, Italy",438,,
Madison,183,Madison,Wisconsin
"Lexington, Ky",164,Lexington,Kentucky
"Chelmsford, Essex",123,,
San Antonio,901,San Antonio,Texas
Compton,105,Los Angeles,California
"Bedfordview, South Africa",124,,
"London, United Kingdom",112,,
